transaction_id,city,date,card_type,exp_type,gender,amount
1,Delhi,2014-10-29,Gold,Bills,F,82475.0
2,Greater Mumbai,2014-08-22,Platinum,Bills,F,32555.0
3,Bengaluru,2014-08-27,Silver,Bills,F,101738.0
4,Greater Mumbai,2014-04-12,Signature,Bills,F,123424.0
5,Bengaluru,2015-05-05,Gold,Bills,F,171574.0
6,Delhi,2014-09-08,Silver,Bills,F,100036.0
7,Delhi,2015-02-24,Gold,Bills,F,143250.0
8,Greater Mumbai,2014-06-26,Platinum,Bills,F,150980.0
9,Delhi,2014-03-28,Silver,Bills,F,192247.0
10,Delhi,2014-09-01,Platinum,Bills,F,67932.0
11,Delhi,2014-06-22,Platinum,Bills,F,280061.0
12,Greater Mumbai,2013-12-07,Signature,Bills,F,278036.0
13,Greater Mumbai,2014-08-07,Gold,Bills,F,19226.0
14,Delhi,2014-04-27,Signature,Bills,F,254359.0
15,Greater Mumbai,2014-08-15,Signature,Bills,F,302834.0
16,Greater Mumbai,2014-11-28,Platinum,Bills,F,647116.0
17,Greater Mumbai,2014-06-14,Signature,Bills,F,421878.0
18,Greater Mumbai,2015-03-30,Gold,Bills,F,986379.0
19,Greater Mumbai,2014-03-15,Platinum,Bills,F,213047.0
20,Greater Mumbai,2013-11-09,Platinum,Bills,F,735566.0
21,Delhi,2014-04-04,Signature,Bills,F,366102.0
22,Delhi,2014-07-01,Signature,Bills,F,809623.0
23,Greater Mumbai,2015-03-27,Silver,Bills,F,467014.0
24,Ahmedabad,2013-10-11,Gold,Bills,F,668568.0
25,Ahmedabad,2014-03-26,Gold,Bills,F,339112.0
26,Delhi,2014-09-27,Silver,Bills,F,622170.0
27,Bengaluru,2014-03-23,Platinum,Bills,F,434427.0
28,Greater Mumbai,2014-05-17,Signature,Bills,F,655846.0
29,Bengaluru,2015-01-18,Platinum,Bills,F,987935.0
30,Delhi,2015-04-18,Gold,Bills,F,702774.0
31,Bengaluru,2014-07-31,Signature,Bills,F,225392.0
32,Greater Mumbai,2015-02-11,Gold,Bills,F,296573.0
33,Ahmedabad,2013-11-24,Platinum,Bills,F,227702.0
34,Ahmedabad,2014-11-08,Gold,Bills,F,864090.0
35,Ahmedabad,2014-09-06,Signature,Bills,F,440605.0
36,Ahmedabad,2015-03-24,Platinum,Bills,F,954660.0
37,Ahmedabad,2014-01-01,Signature,Bills,F,255577.0
38,Ahmedabad,2014-07-12,Silver,Bills,F,337352.0
39,Ahmedabad,2014-02-04,Platinum,Bills,F,660244.0
40,Delhi,2015-02-03,Silver,Bills,F,401351.0
41,Delhi,2013-10-27,Platinum,Bills,F,678842.0
42,Delhi,2014-05-11,Gold,Bills,F,478861.0
43,Bengaluru,2014-11-10,Platinum,Bills,F,804938.0
44,Delhi,2015-01-30,Silver,Bills,F,888341.0
45,Bengaluru,2014-04-19,Platinum,Bills,F,262414.0
46,Bengaluru,2014-09-08,Gold,Bills,F,249353.0
47,Ahmedabad,2013-12-10,Gold,Bills,F,892016.0
48,Ahmedabad,2013-11-04,Platinum,Bills,F,313626.0
49,Greater Mumbai,2014-06-01,Gold,Bills,F,314366.0
50,Greater Mumbai,2014-04-27,Signature,Bills,F,551340.0
51,Delhi,2013-10-04,Signature,Bills,F,735037.0
52,Greater Mumbai,2014-12-31,Platinum,Bills,F,574023.0
